LizardID,Sex,Gravid,HomeElev,HoBuried,HoSheltered,HoShade,HoPtShade,HoPtSun,HoFullSun,Treatment
1602,F,G,low,133,197,27,450,234,215,Home
1603,F,NG,low,97,135,31,454,299,241,Home
1604,F,G,low,260,43,27,480,254,195,Home
1608,F,G,low,116,96,43,528,255,203,Home
1609,M,.,low,324,18,16,438,256,191,Home
1613,M,.,low,383,29,18,449,218,143,Home
1614,M,.,low,109,143,59,435,157,90,Home
1616,M,.,low,275,27,49,425,326,143,Home
1619,M,.,low,361,77,39,445,225,99,Home
1620,F,NG,low,213,163,45,458,244,124,Home
1621,F,NG,low,215,20,20,458,314,223,Home
1622,F,NG,low,290,36,12,327,403,182,Home
1623,F,NG,low,301,54,27,472,288,110,Home
1627,F,G,low,310,25,29,427,219,66,Home
1634,F,NG,low,305,50,14,260,233,138,Home
1635,F,NG,low,351,43,21,261,229,97,Home
1638,M,.,low,319,89,23,235,149,37,Home
1639,M,.,low,207,191,30,224,147,55,Home
1640,M,.,low,97,139,77,223,101,23,Home
1606,F,G,high,28,150,16,485,264,300,Home
1610,F,NG,high,205,46,32,210,206,201,Home
1612,F,G,high,116,29,33,297,235,190,Home
1625,F,NG,high,51,73,14,250,172,178,Home
1630,F,G,high,42,28,3,219,130,123,Home
1642,M,.,high,82,57,22,141,190,173,Home
1602,F,G,low,186,189,16,266,282,205,Trans
1603,F,NG,low,35,183,40,322,279,276,Trans
1604,F,G,low,238,120,16,237,314,211,Trans
1608,F,G,low,58,160,30,312,253,326,Trans
1609,M,.,low,133,192,46,183,293,242,Trans
1613,M,.,low,128,196,54,220,248,287,Trans
1614,M,.,low,248,269,49,289,136,143,Trans
1616,M,.,low,242,232,37,222,194,204,Trans
1619,M,.,low,298,169,27,187,187,261,Trans
1620,F,NG,low,95,96,18,200,152,181,Trans
1621,F,NG,low,78,200,43,337,225,251,Trans
1622,F,NG,low,34,98,11,200,150,248,Trans
1623,F,NG,low,113,218,9,113,228,296,Trans
1627,F,G,low,79,169,25,300,305,247,Trans
1634,F,NG,low,222,113,10,179,225,226,Trans
1635,F,NG,low,58,149,60,219,192,295,Trans
1638,M,.,low,10,200,33,248,272,208,Trans
1639,M,.,low,9,238,53,381,132,159,Trans
1640,M,.,low,42,295,36,264,90,83,Trans
1606,F,G,high,376,69,41,309,208,137,Trans
1610,F,NG,high,225,101,46,276,273,200,Trans
1612,F,G,high,115,181,35,373,255,155,Trans
1625,F,NG,high,289,75,18,182,343,205,Trans
1630,F,G,high,270,58,31,261,328,176,Trans
1642,M,.,high,22,28,13,155,131,57,Trans
