LizardID,Sex,Gravid,HomeElev,HoBuried,HoSheltered,HoShade,HoPtShade,HoPtSun,HoFullSun,Treatment,TimeBin
1602,F,G,low,38,52,5,90,60,126,Home,morning
1602,F,G,low,94,89,10,230,77,49,Home,afternoon
1602,F,G,low,1,56,12,130,97,40,Home,evening
1603,F,NG,low,46,69,20,107,69,115,Home,morning
1603,F,NG,low,15,4,4,226,117,69,Home,afternoon
1603,F,NG,low,36,62,7,121,113,57,Home,evening
1604,F,G,low,138,11,7,92,76,107,Home,morning
1604,F,G,low,20,30,20,249,72,45,Home,afternoon
1604,F,G,low,102,2,0,139,106,43,Home,evening
1608,F,G,low,53,46,18,107,91,108,Home,morning
1608,F,G,low,3,29,21,240,68,62,Home,afternoon
1608,F,G,low,60,21,4,181,96,33,Home,evening
1609,M,.,low,160,12,6,56,90,96,Home,morning
1609,M,.,low,5,1,5,267,92,56,Home,afternoon
1609,M,.,low,159,5,5,115,74,39,Home,evening
1613,M,.,low,168,9,6,87,80,76,Home,morning
1613,M,.,low,0,20,8,255,89,48,Home,afternoon
1613,M,.,low,215,0,4,107,49,19,Home,evening
1614,M,.,low,50,77,33,55,46,55,Home,morning
1614,M,.,low,42,37,24,197,46,14,Home,afternoon
1614,M,.,low,17,29,2,183,65,21,Home,evening
1616,M,.,low,151,18,9,53,116,84,Home,morning
1616,M,.,low,1,4,38,241,117,22,Home,afternoon
1616,M,.,low,123,5,2,131,93,37,Home,evening
1619,M,.,low,240,12,8,72,51,48,Home,morning
1619,M,.,low,6,52,23,203,112,27,Home,afternoon
1619,M,.,low,115,13,8,170,62,24,Home,evening
1620,F,NG,low,100,94,21,102,63,51,Home,morning
1620,F,NG,low,37,40,18,180,115,34,Home,afternoon
1620,F,NG,low,76,29,6,176,66,39,Home,evening
1621,F,NG,low,105,9,12,114,78,115,Home,morning
1621,F,NG,low,15,8,7,237,114,44,Home,afternoon
1621,F,NG,low,95,3,1,107,122,64,Home,evening
1622,F,NG,low,173,27,12,61,82,75,Home,morning
1622,F,NG,low,10,5,0,146,207,59,Home,afternoon
1622,F,NG,low,107,4,0,120,114,48,Home,evening
1623,F,NG,low,181,22,5,72,88,61,Home,morning
1623,F,NG,low,8,31,18,251,97,23,Home,afternoon
1623,F,NG,low,112,1,4,149,103,26,Home,evening
1627,F,G,low,210,8,12,82,39,21,Home,morning
1627,F,G,low,25,10,8,214,84,27,Home,afternoon
1627,F,G,low,75,7,9,131,96,18,Home,evening
1634,F,NG,low,182,11,5,40,37,60,Home,morning
1634,F,NG,low,4,30,7,131,119,38,Home,afternoon
1634,F,NG,low,119,9,2,89,77,40,Home,evening
1635,F,NG,low,190,9,10,40,47,41,Home,morning
1635,F,NG,low,47,5,1,137,106,33,Home,afternoon
1635,F,NG,low,114,29,10,84,76,23,Home,evening
1638,M,.,low,163,27,8,35,36,10,Home,morning
1638,M,.,low,38,59,12,106,68,10,Home,afternoon
1638,M,.,low,118,3,3,94,45,17,Home,evening
1639,M,.,low,77,104,0,62,24,14,Home,morning
1639,M,.,low,66,53,19,81,60,15,Home,afternoon
1639,M,.,low,64,34,11,81,63,26,Home,evening
1640,M,.,low,34,62,32,79,6,4,Home,morning
1640,M,.,low,46,2,10,66,82,15,Home,afternoon
1640,M,.,low,17,75,35,78,13,4,Home,evening
1606,F,G,high,11,110,11,85,45,154,Home,morning
1606,F,G,high,0,7,2,238,91,95,Home,afternoon
1606,F,G,high,17,33,3,162,128,51,Home,evening
1610,F,NG,high,90,43,9,28,52,69,Home,morning
1610,F,NG,high,0,3,21,127,93,83,Home,afternoon
1610,F,NG,high,115,0,2,55,61,49,Home,evening
1612,F,G,high,41,20,2,60,79,90,Home,morning
1612,F,G,high,0,5,24,165,79,55,Home,afternoon
1612,F,G,high,75,4,7,72,77,45,Home,evening
1625,F,NG,high,24,23,6,67,48,70,Home,morning
1625,F,NG,high,0,0,2,145,69,59,Home,afternoon
1625,F,NG,high,27,50,6,38,55,49,Home,evening
1630,F,G,high,14,12,3,41,38,69,Home,morning
1630,F,G,high,5,1,0,130,32,32,Home,afternoon
1630,F,G,high,23,15,0,48,60,22,Home,evening
1642,M,.,high,3,38,22,72,46,33,Home,morning
1642,M,.,high,3,3,0,45,107,69,Home,afternoon
1642,M,.,high,76,16,0,24,37,71,Home,evening
1602,F,G,low,92,107,7,77,34,80,Transplant,morning
1602,F,G,low,1,19,5,94,154,87,Transplant,afternoon
1602,F,G,low,93,63,4,95,94,38,Transplant,evening
1603,F,NG,low,13,109,26,75,54,115,Transplant,morning
1603,F,NG,low,0,6,2,113,164,75,Transplant,afternoon
1603,F,NG,low,22,68,12,134,61,86,Transplant,evening
1604,F,G,low,109,87,7,64,46,79,Transplant,morning
1604,F,G,low,36,19,3,85,154,63,Transplant,afternoon
1604,F,G,low,93,14,6,88,114,69,Transplant,evening
1608,F,G,low,9,90,18,113,49,107,Transplant,morning
1608,F,G,low,0,0,1,118,141,106,Transplant,afternoon
1608,F,G,low,49,70,11,81,63,113,Transplant,evening
1609,M,.,low,57,67,16,63,65,77,Transplant,morning
1609,M,.,low,0,30,18,73,165,77,Transplant,afternoon
1609,M,.,low,76,95,12,47,63,88,Transplant,evening
1613,M,.,low,58,76,19,71,37,118,Transplant,morning
1613,M,.,low,23,20,12,83,143,88,Transplant,afternoon
1613,M,.,low,47,100,23,66,68,81,Transplant,evening
1614,M,.,low,31,129,15,58,61,86,Transplant,morning
1614,M,.,low,60,46,22,146,56,38,Transplant,afternoon
1614,M,.,low,157,94,12,85,19,19,Transplant,evening
1616,M,.,low,72,103,11,58,53,79,Transplant,morning
1616,M,.,low,44,55,17,110,98,41,Transplant,afternoon
1616,M,.,low,126,74,9,54,43,84,Transplant,evening
1619,M,.,low,70,62,9,61,44,130,Transplant,morning
1619,M,.,low,72,34,10,74,117,58,Transplant,afternoon
1619,M,.,low,156,73,8,52,26,73,Transplant,evening
1620,F,NG,low,18,37,9,68,27,70,Transplant,morning
1620,F,NG,low,0,21,6,87,78,52,Transplant,afternoon
1620,F,NG,low,77,38,3,45,47,59,Transplant,evening
1621,F,NG,low,27,65,10,105,67,111,Transplant,morning
1621,F,NG,low,0,47,18,150,98,51,Transplant,afternoon
1621,F,NG,low,51,88,15,82,60,89,Transplant,evening
1622,F,NG,low,13,35,3,59,23,98,Transplant,morning
1622,F,NG,low,0,6,1,57,102,76,Transplant,afternoon
1622,F,NG,low,21,57,7,84,25,74,Transplant,evening
1623,F,NG,low,20,61,8,38,70,146,Transplant,morning
1623,F,NG,low,5,62,1,44,105,74,Transplant,afternoon
1623,F,NG,low,88,95,0,31,53,76,Transplant,evening
1627,F,G,low,30,96,12,94,55,90,Transplant,morning
1627,F,G,low,0,13,2,143,151,51,Transplant,afternoon
1627,F,G,low,49,60,11,63,99,106,Transplant,evening
1634,F,NG,low,85,45,5,45,48,96,Transplant,morning
1634,F,NG,low,31,30,5,66,114,75,Transplant,afternoon
1634,F,NG,low,106,38,0,68,63,55,Transplant,evening
1635,F,NG,low,5,67,14,55,35,146,Transplant,morning
1635,F,NG,low,0,10,17,104,116,72,Transplant,afternoon
1635,F,NG,low,53,72,29,60,41,77,Transplant,evening
1638,M,.,low,4,77,15,63,72,92,Transplant,morning
1638,M,.,low,0,23,2,115,118,60,Transplant,afternoon
1638,M,.,low,6,100,16,70,82,56,Transplant,evening
1639,M,.,low,4,97,19,124,36,43,Transplant,morning
1639,M,.,low,0,33,18,166,58,42,Transplant,afternoon
